"ID","Sex_R","BirthYear","Age","AgeClass","SampleYear","IgG_TC","IgPlateRef","RTL","qPCRPlate","qPCRRow","Survival"
4617,"Females",2001,0,"Lambs",2001,0.17057,23,1.70144492136361,17,"G",0
7174,"Males",2009,0,"Lambs",2009,0.04888,43,1.74238514121717,17,"A",1
4570,"Females",2001,0,"Lambs",2001,0.25857,22,1.8198883126175,17,"A",0
6646,"Females",2007,0,"Lambs",2007,0.60688,48,1.62024702483477,17,"G",1
6673,"Males",2007,0,"Lambs",2007,0.06047,48,1.89254826121045,18,"G",0
6644,"Females",2007,0,"Lambs",2007,0.31072,48,1.76785912040012,18,"B",1
6708,"Females",2007,0,"Lambs",2007,0.12699,47,1.59378461004598,18,"F",0
7230,"Females",2009,0,"Lambs",2009,0.17092,43,1.64136128633313,18,"C",1
4665,"Males",2001,0,"Lambs",2001,0.03396,24,1.54865202939839,18,"F",0
6599,"Males",2007,0,"Lambs",2007,0.06838,48,2.29848230810483,18,"D",1
7189,"Males",2009,0,"Lambs",2009,0.07089,44,1.59406169087768,18,"F",0
4612,"Males",2001,0,"Lambs",2001,0.07115,23,1.29281689548528,18,"G",0
4610,"Females",2001,0,"Lambs",2001,0.05746,23,1.49178589824828,18,"H",0
7119,"Males",2009,0,"Lambs",2009,0.40409,48,2.35212439081723,18,"B",0
4623,"Females",2001,0,"Lambs",2001,0.4939,23,1.60995825941883,18,"C",0
4569,"Males",2001,0,"Lambs",2001,0.25428,22,1.48192941435243,18,"F",0
4599,"Males",2001,0,"Lambs",2001,0.08128,23,2.37093395634503,19,"B",0
4594,"Males",2001,0,"Lambs",2001,0.1881,23,1.72465605146602,19,"C",0
7246,"Females",2009,0,"Lambs",2009,0.2721,42,1.87914112240048,19,"E",0
6679,"Females",2007,0,"Lambs",2007,0.10473,47,1.69965449016861,19,"F",1
7329,"Females",2009,0,"Lambs",2009,0.26221,44,1.78407415530743,19,"H",0
4667,"Females",2001,0,"Lambs",2001,0.41301,24,1.75511668817314,19,"D",0
6714,"Females",2007,0,"Lambs",2007,0.22616,47,1.39541669625695,19,"E",0
7152,"Males",2009,0,"Lambs",2009,0.08997,42,2.1976244188592,19,"H",0
8780,"Females",2012,0,"Lambs",2012,0.34531,21,1.80303733509475,19,"D",1
6700,"Females",2007,0,"Lambs",2007,0.31274,47,1.76662274197993,19,"G",0
4647,"Females",2001,0,"Lambs",2001,0.5248,24,1.96318379994391,19,"H",0
4592,"Females",2001,0,"Lambs",2001,0.42,22,1.92538534558466,19,"B",0
6583,"Females",2007,0,"Lambs",2007,0.16341,49,1.58269086895205,19,"F",1
6659,"Females",2007,0,"Lambs",2007,0.12402,48,1.66674687058286,19,"G",0
4651,"Females",2001,0,"Lambs",2001,0.16892,24,2.39500178554373,19,"B",0
7163,"Females",2009,0,"Lambs",2009,0.28608,43,2.16716803931873,19,"D",1
7172,"Females",2009,0,"Lambs",2009,0.39516,43,2.45885648906083,20,"A",1
4589,"Females",2001,0,"Lambs",2001,0.10886,22,2.00750475324113,20,"B",0
6595,"Males",2007,0,"Lambs",2007,0.27416,49,1.68936853251859,20,"E",0
4636,"Females",2001,0,"Lambs",2001,0.09321,23,1.96756067780468,20,"B",1
4640,"Females",2001,0,"Lambs",2001,0.17474,24,1.99943387878169,20,"D",0
6585,"Females",2007,0,"Lambs",2007,0.43637,49,1.66627999926139,20,"G",1
4567,"Females",2001,0,"Lambs",2001,0.0277,22,1.98319226608038,20,"A",0
